owner_name,change_no,captain,vice_captain,from_day
Asif,1,Virat Kohli,Ishan Kishan,1
Pritesh,1,Jasprit Bumrah,Mitchell Marsh,1
Ravi,1,Sanju Samson,Abhishek Sharma,1
Wilfred,1,Aiden Markram,Sai Sudharsan,1
Johnson,1,Ruturaj Gaikwad,Travis Head,1
Mahesh,1,Shreyas Iyer,Vaibhav Sooryavanshi,1
Lalit,1,KL Rahul,Hardik Pandya,1
Somansh,1,Phil Salt,Yashasvi Jaiswal,1
Asif,2,Virat Kohli,Prabhsimran Singh,10
Johnson,2,Suryakumar Yadav,Travis Head,12
